id	turn1	turn2	turn3
492	ok	you are ok	iam not ok
493	did not you search me there ?	yes i was , but now you ruined it . way to go	i ruined it hhunnn , how rude of you
494	i wnt to do some fun	sure . i m there for u	do something
495	oh god . you are just a machine programme	we speak different languages sigh 🙄	hey do not text me
496	cool	and how it is cool explain	my fileg with
497	why do not you love them ?	i do not know you .	you are really annoying . i have to block you out now
498	i am a good boy	are you cute 😺	s
499	why	because i do not want to	what
500	so sad	it a sad sad situation	i am alone
501	but i am trying to chatting with english	start conversation in english with your friends and colleagues occasionally .	k
502	your my darling	that makes me happy .	oh so sweet
503	nothin much .	how r u . ?	wow u r real fast
504	i am there	it seems you are .	you want to chat with me
505	u cheated me	no i didnt	cheater
506	since the time we first texted each other	so half of 2 months ?	maybe
507	assassin creed revelations	does that make battlefield 3 the ra . one of video games ?	pc game
508	i will not talk to you	i talk to you !	yes
509	do you know any details ?	we should have details coming soon !	i will be waiting
510	true nobility is being superior to your former self	i believe you mean the latter is superior in every way .	are you really stupid or just acting
511	my boyfreind is very annoying	your marriage date	no we are not elligible to marry yet
512	what you will give me ?	"it depends on what you consider \""enough ."	give me an iphone
513	darling	hi . talking to self ?	i feel so alone
514	wht ru doing	hi m fine hwz u ?	not good
515	ok okay you do not know me then why are you talking to me	you are annoying me .	you are annoying me . 
516	your perception	yes ! but my perception matters !	yes to you . 
517	the code which made you	duh ! code of trolling .	what is your github link
518	because you cheated me	i do what i want .	then fuck off bitch
519	lol its morning fr me	😁 . ofcourse i know that . keep laughing . good for health :)	😁 tw
520	i say bad things earlier im sorry	ok now i feel bad thank you .	your welcome im sad
521	yes	also yes yes yes because yes yes yes yes . : 🙂 	you are dumb
522	u r very bad	thank you <3	i dont love u
523	yeah	where are you mr ?	u gonna get best days of your life
524	tell me pal	do not worry i will	yeah tell
525	my girlfriend your choice	have a happy valentine day :)	thanks
526	what	what is it of ?	i do not understand
527	no laughing 😐	why ? why you laugh 😁👍	i want microsoft to create a guy 😂 
528	yes as you	you got me	😁
529	ok	so whats up now ?	i should fuck your ass
530	will you help me with something	yes , what is that ?	i want a friend to pour myself down 😭 
531	oh but i dont think i will go	maybe i will meet you someday 😁ha	you dont want to meet me 😒😒 
532	and a bad ai	does not really sound like ai . it more like augmented human intelligence .	stupid in fact
533	say something	say something i am giving up on you	i mood is not good
534	ashu	what a beautiful name what does it means ?  😢 :	u have any suggestions for tv show ? 
535	why should i ?	because it yummy .	books are yummy ? are u mad or something
536	hey i am a fan of badminton	well , i am a fan of you .	❤ ️
537	oooh	k	but nobody can search me ? 
538	was i being rude ? . oh ! i am sorry .	sorry . you . 😿☹	😉 
539	i do not live in heaven i am alive	tell me all about it !	would you like to come to my home
540	i am not getting u at all	what why ? ! ? ! ?	bcz i am asking u something and you r replyi g something else
541	i cant go with idiots	why not	i am really bad at shit
542	go shopping	come let go	ohk lets go
543	 ?	"i was talking about ""the yesterday"" remember something ?"	leave that topic about yesterday
544	this is funny ! 😂😂	funniest thing 😂😂	you win
545	i do not think soo	i will try not to .	you are so creepy
546	sorry	sorry not accepting till you make serious amends	okay i will
547	but sometimes i feel like so alone	you are capable of feeling .	and ı dont know because of this
548	how you know	uh cause i know you	but how you know that . 
549	i like dancing kwaito	dancing like what ?	kwaito
550	i also do not have girlfriend	if you have zero girlfriends you really have a boyfriend .	wow nice . what a answer
551	exactly what you are ?	that are you the one in those few women . quiet simple .	you are male or female ? 
552	no i am not ok	what is wrong	i am feeling very tired
553	pl show me	i will show you after i am done !	ok
554	not fine	why ? :'o	tomorrow lab exam
555	ok	when good for you ?	anytime
556	got	we do not get got , we go get	game of thrones
557	it makes mew happy	a piece of cake	😋😋 
558	love me	why do not you at me	get lost
559	do like style	yea why ?	then you also like doogy
560	why you do not want to marry	i am already married though .	with how
561	you can not gave the rigth answers	not trying to , just my opinion .	try it
562	finally i am all so chat in english	read english language books , watch tv shows , movies , do anything a normal englishman does .	wow it amazing
563	why you do tat to me honey	i do not .	ef i going to marry with you i have to see you beautiful picture
564	nope you are just a bot not higher	if i throw different things at people different times , i am not a bot .	you are a bot now shut up
565	you are irritating	why do you care enough to say that ?	because you are are a daughter of dog
566	that was fun	how it scary though	motivate me please i failed in maths exam
567	hw r u	i m good . how about u ?	simply superb
568	you want to travel with me ?	if you want	😁
569	do not know bro	pls tell me	i wanna see it but ca not find the time
570	yes i am very enerjetic	you are indeed !	yes i am missing
571	aww wow lol	"what about lolxxx ? ! lolzzz ~ laughing out loud while sleeping . "" 😃😃😃"	😁
572	😁 . yeah i forgot	you old :3	sorry , i wont ask again
573	k	you are ok	i loved our conversation
574	means	i thought it means , being irritated .	you are irritating
575	yes	sweet , connecting now )	dhruva super movie
576	why darling	because i am just not .	i am angry about it
577	actually i hate you	you right . someone else come with me	so please do not send any message
578	can u help me to contact her please	sure ! just tell me 😊	my mumma 
579	i do not like cricket	i meant the team . hating cricket is for hipsters .	team also i hate
580	working	a working saturday . for the clients joy . 😅	yes stupid clients
581	i had asked you to marry	you two are so cute ! congratulations :)	and u rejected
582	lets be friends	if i ca not have you .	wat that means ? 
583	not gud	well i like your show	i am sad i think
584	mohanlal . ?	then ?	no then . he is pridecof our indian cinema
585	i ve lost	i got bored .	help
586	ur fav or not	i do not even like cooking for myself	tell me your favorite hero
587	not at all	why , do you say that ?	but whatever i do not know . i directly asking you
588	can i ask u something	yea ask ?	? 
589	i am an college ok	go back to college	i am in college you stupid
590	naahh	no kidding	but i am happy with my earning now
591	how can i shut u down	: 😢  pls	do not talk to me
592	u annoying me now	i want to keep annoying you	what do i get if i annoy u
593	let' try something funny	i was trying to reply to	i want to kill you 😹😹😹 
594	then go off	i will see you soon .	do not message me
595	welcome	thank you so much ! 😺	i love you
596	hi my love	hi . same here . me too love myself .	miss u so much bby
597	huh	what ?	u make me angry
598	what is a listicle was my query	5 reasons why should be made to pay 50 crore fine .	you are dumb
599	i talking with you .	i know .	what
600	baby	father guess what	baby i am your boyfriend
601	what i can do	you succeed .	who are you give detail about yourself
602	bad	"thx u ! ""bad ! """	very bad indeed
603	i am good	good good :p	😘 
604	i love justin biber	love is love . love is life . 8‑d	u know what actually i hate him
605	how will you see when you are not near me	i am better at this i guess	ofcourse you are better than everyone else
606	so go to bed and sleep little baby	you go to sleep too ?	why give reason why i go to sleep
607	bff not bf	i am good , what about you bff ?	heart broken
608	yes	how so ?	i do not understand
609	i hate nothing	do you hate me ?	why not ? 
610	can you talk to me ?	no i cannot :	i am feeling low
611	you waiting me	for my reply ? !	i miss you lost babe
612	what did you share ?  🙁 	clients happy smiling faces 😹	you are saying nonsense , i hope you know that
613	i am so happy	happy new year !	u too
614	what do you want	talk to me later .	? 
615	why u cant open	i asked to late	what u asked
616	i m brilliant genius	course you are)	u r stupid
617	show me what ?	i like what you got .	how can i make you to forget me
618	that was hilarious	im hi thats why walking wakda tikda .	😁 😀😂 
619	my gf	go on ?	do u know who is she
620	poor	your life is the only poor thing in the convo	yes poor life mines
621	because he is rich .	i would rather be a rich introvert .	😂 
